idx,pfx,val
9850,769,780
15439,769,794
21034,769,782
2623,770,772
8207,770,783
13796,770,793
19391,770,782
980,771,776
6564,771,777
12153,771,788
17748,771,780
23337,771,770
4921,772,764
10510,772,775
16105,772,768
21694,772,762
3283,773,745
8867,773,753
14462,773,748
20051,773,750
1640,774,740
7224,774,732
12813,774,742
18408,774,742
23997,774,739
5586,775,723
11170,775,730
16765,775,735
22354,775,741
3943,776,735
9527,776,722
15116,776,740
20711,776,742
2300,777,746
7889,777,738
13473,777,741
19068,777,748
657,778,756
6246,778,755
11830,778,746
17419,778,768
23008,778,778
4603,779,772
10192,779,769
15776,779,776
21365,779,797
2954,780,803
8549,780,794
14133,780,786
19722,780,814
1311,781,826
6900,781,815
12495,781,807
18079,781,827
23668,781,845
5257,782,844
10846,782,823
16436,782,835
22025,782,852
3614,783,854
9203,783,832
14793,783,836
20382,783,856
1971,784,858
7560,784,837
13150,784,826
18739,784,848
328,785,858
5917,785,852
11512,785,830
17096,785,831
22685,785,855
4274,786,857
9869,786,838
15453,786,829
21042,786,854
2631,787,862
8220,787,858
13815,787,838
19399,787,849
988,788,862
6577,788,863
12172,788,844
17756,788,844
23345,788,859
4934,789,862
10529,789,847
16113,789,837
21702,789,856
3291,790,860
8880,790,853
14475,790,831
20059,790,846
1648,791,857
7237,791,856
12832,791,837
18416,791,837
5,792,855
5594,792,852
11189,792,842
16773,792,832
22362,792,855
3951,793,867
9540,793,863
15135,793,840
20719,793,859
2308,794,875
7897,794,875
13492,794,850
19076,794,871
665,795,884
6254,795,883
11849,795,862
17433,795,873
23022,795,892
4611,796,890
10206,796,867
15790,796,876
21379,796,893
2968,797,894
8557,797,869
14147,797,867
19736,797,888
1325,798,890
6914,798,876
12504,798,859
18093,798,879
23682,798,885
5271,799,865
10861,799,852
16450,799,871
22039,799,878
3628,800,867
9218,800,843
14807,800,862
20396,800,863
1985,801,841
7569,801,831
13164,801,848
18753,801,849
342,802,826
5926,802,810
11521,802,826
17110,802,834
22699,802,809
4288,803,788
9878,803,798
15467,803,802
21056,803,787
2645,804,770
8235,804,767
13824,804,776
19413,804,768
1002,805,754
6586,805,739
12181,805,750
17770,805,744
23359,805,742
4948,806,722
10538,806,728
16127,806,727
21716,806,727
3305,807,718
8895,807,709
14484,807,714
20073,807,719
1662,808,715
7257,808,701
12841,808,712
18430,808,714
19,809,716
5608,809,704
